Table 1
Rk,Player,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
2,Deborah Abiodun,MF,ng Nigeria,19,2003,1,1,89,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0.03,0.03,0.03,Matches
3,Adriana,MF,br Brazil,26,1996,3,3,259,2.9,0,0,0,0,0,0,0,0,1.1,1.1,0.3,1.3,11,11,19,0,0,0,0,0,0.37,0.09,0.46,0.37,0.46,Matches
4,Lily Agg,MF,ie Rep. of Ireland,29,1993,2,1,108,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0.03,0,0.03,0.03,0.03,Matches
5,Eseosa Aigbogun,DF,ch Switzerland,30,1993,4,4,315,3.5,0,0,0,0,0,0,0,0,0,0,0,0,3,19,7,0,0,0,0,0,0,0,0,0,0,Matches
6,Rasheedat Ajibade,FW,ng Nigeria,23,1999,3,3,300,3.3,0,0,0,0,0,0,0,0,0.5,0.5,0.1,0.5,16,14,23,0,0,0,0,0,0.15,0.02,0.18,0.15,0.18,Matches
7,Michelle Alozie,DF,ng Nigeria,26,1997,4,4,390,4.3,0,0,0,0,0,0,1,0,0.5,0.5,0.2,0.7,9,13,11,0,0,0,0,0,0.12,0.05,0.17,0.12,0.17,Matches
8,Katherine Alvarado,MF,cr Costa Rica,32,1991,3,3,269,3,0,0,0,0,0,0,1,0,0,0,0.7,0.7,0,7,2,0,0,0,0,0,0,0.23,0.23,0,0.23,Matches
9,Lúcia Alves,DF,pt Portugal,25,1997,2,1,103,1.1,0,1,1,0,0,0,0,0,0.4,0.4,0.6,1,2,4,6,0,0.87,0.87,0,0.87,0.34,0.54,0.88,0.34,0.88,Matches
10,Catarina Amado,DF,pt Portugal,23,1999,2,2,165,1.8,0,0,0,0,0,0,1,0,0,0,0,0,2,3,4,0,0,0,0,0,0,0,0,0,0,Matches
11,Salma Amani,FW,ma Morocco,33,1989,3,1,112,1.2,0,0,0,0,0,0,0,0,0.6,0.6,0,0.6,2,4,4,0,0,0,0,0,0.45,0,0.45,0.45,0.45,Matches
12,Jonna Andersson,DF,se Sweden,30,1993,6,6,570,6.3,0,2,2,0,0,0,0,0,0.1,0.1,2.2,2.3,2,14,17,0,0.32,0.32,0,0.32,0.02,0.36,0.38,0.02,0.38,Matches
13,Lady Andrade,FW,co Colombia,31,1992,1,1,53,0.6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Matches
